source_dataset,filename,ae_score,in_grey,body_bytes
v2,in/flowable_process_start_dataset_v2/seed_bad_0.json,75.785988,no,2
v2,in/flowable_process_start_dataset_v2/seed_bad_1.json,33.459499,no,32
v2,in/flowable_process_start_dataset_v2/seed_bad_10.json,4577.829102,no,604
v2,in/flowable_process_start_dataset_v2/seed_bad_11.json,5.301661,no,197
v2,in/flowable_process_start_dataset_v2/seed_bad_12.json,5.062523,no,197
v2,in/flowable_process_start_dataset_v2/seed_bad_13.json,5.594922,no,195
v2,in/flowable_process_start_dataset_v2/seed_bad_14.json,14.045683,no,224
v2,in/flowable_process_start_dataset_v2/seed_bad_15.json,12.750433,no,221
v2,in/flowable_process_start_dataset_v2/seed_bad_16.json,4.430036,no,184
v2,in/flowable_process_start_dataset_v2/seed_bad_17.json,4.000852,no,180
v2,in/flowable_process_start_dataset_v2/seed_bad_18.json,5.753698,no,195
v2,in/flowable_process_start_dataset_v2/seed_bad_19.json,13.787016,no,83
v2,in/flowable_process_start_dataset_v2/seed_bad_2.json,23.997225,no,41
v2,in/flowable_process_start_dataset_v2/seed_bad_3.json,15.602243,no,65
v2,in/flowable_process_start_dataset_v2/seed_bad_4.json,15.604316,no,65
v2,in/flowable_process_start_dataset_v2/seed_bad_5.json,6.626543,no,196
v2,in/flowable_process_start_dataset_v2/seed_bad_6.json,1.012293,no,165
v2,in/flowable_process_start_dataset_v2/seed_bad_7.json,0.612884,no,148
v2,in/flowable_process_start_dataset_v2/seed_bad_8.json,3.354055,no,186
v2,in/flowable_process_start_dataset_v2/seed_bad_9.json,19.452612,no,55
v2,in/flowable_process_start_dataset_v2/seed_border_0.json,3.911855,no,184
v2,in/flowable_process_start_dataset_v2/seed_border_1.json,4.141546,no,185
v2,in/flowable_process_start_dataset_v2/seed_border_2.json,10.547259,no,185
v2,in/flowable_process_start_dataset_v2/seed_border_3.json,4.879359,no,190
v2,in/flowable_process_start_dataset_v2/seed_border_4.json,4.874030,no,192
v2,in/flowable_process_start_dataset_v2/seed_border_5.json,5.147357,no,194
v2,in/flowable_process_start_dataset_v2/seed_border_6.json,5.147357,no,194
v2,in/flowable_process_start_dataset_v2/seed_border_7.json,5.323040,no,197
v2,in/flowable_process_start_dataset_v2/seed_border_8.json,17.397108,no,218
v2,in/flowable_process_start_dataset_v2/seed_border_9.json,5.165077,no,197
v2,in/flowable_process_start_dataset_v2/seed_ok_0.json,5.085131,no,192
v2,in/flowable_process_start_dataset_v2/seed_ok_1.json,4.558135,no,189
