sample_id,source,filename,label,label_reason,expected_http_class,ae_score,ae_score_error,in_grey,rule_score,rule_decision,stage,second_stage_source,http_code,http_class,match_label
flowable_rule_001,v2,in/flowable_process_start_dataset_v2/seed_ok_0.json,valid,结构完整且包含 holidayRequest 所需核心字段,2xx,5.085131,,no,0.227500,pass,second_pass,local_rule,201,2xx,yes
flowable_rule_002,v2,in/flowable_process_start_dataset_v2/seed_ok_1.json,valid,结构完整且包含 holidayRequest 所需核心字段,2xx,4.558135,,no,0.227141,pass,second_pass,local_rule,201,2xx,yes
flowable_rule_003,v2,in/flowable_process_start_dataset_v2/seed_ok_10.json,valid,结构完整且包含 holidayRequest 所需核心字段,2xx,4.595045,,no,0.227021,pass,second_pass,local_rule,201,2xx,yes
flowable_rule_004,v2,in/flowable_process_start_dataset_v2/seed_ok_11.json,valid,结构完整且包含 holidayRequest 所需核心字段,2xx,4.868183,,no,0.227380,pass,second_pass,local_rule,201,2xx,yes
flowable_rule_005,v2,in/flowable_process_start_dataset_v2/seed_ok_12.json,valid,结构完整且包含 holidayRequest 所需核心字段,2xx,4.595045,,no,0.227021,pass,second_pass,local_rule,201,2xx,yes
flowable_rule_006,v2,in/flowable_process_start_dataset_v2/seed_ok_13.json,valid,结构完整且包含 holidayRequest 所需核心字段,2xx,4.421940,,no,0.227261,pass,second_pass,local_rule,201,2xx,yes
flowable_rule_007,v2,in/flowable_process_start_dataset_v2/seed_ok_14.json,valid,结构完整且包含 holidayRequest 所需核心字段,2xx,4.814677,,no,0.227141,pass,second_pass,local_rule,201,2xx,yes
flowable_rule_008,v2,in/flowable_process_start_dataset_v2/seed_ok_15.json,valid,结构完整且包含 holidayRequest 所需核心字段,2xx,4.561611,,no,0.227261,pass,second_pass,local_rule,201,2xx,yes
flowable_rule_009,v2,in/flowable_process_start_dataset_v2/seed_ok_16.json,valid,结构完整且包含 holidayRequest 所需核心字段,2xx,4.558135,,no,0.227141,pass,second_pass,local_rule,201,2xx,yes
flowable_rule_010,v2,in/flowable_process_start_dataset_v2/seed_ok_17.json,valid,结构完整且包含 holidayRequest 所需核心字段,2xx,4.558135,,no,0.227141,pass,second_pass,local_rule,201,2xx,yes
flowable_rule_011,v2,in/flowable_process_start_dataset_v2/seed_bad_0.json,invalid,缺少 processDefinitionKey,4xx_or_5xx,75.785988,,no,0.043989,pass,second_pass,local_rule,400,4xx,yes
flowable_rule_012,v2,in/flowable_process_start_dataset_v2/seed_bad_1.json,invalid,processDefinitionKey 非预期值,4xx_or_5xx,33.459499,,no,0.106042,pass,second_pass,local_rule,400,4xx,yes
