sample_id,filename,label,ae_score,rule_score,rule_fallback_decision,gan_score,gan_threshold,gan_decision,comparison
existing_grey_probe_0,in/o2oa_body_model_compare/grey_probe_0.json,valid,1.302502,0.163857,pass,1.261062,formal_1.0,reject,rule_pass_gan_reject
existing_grey_probe_0,in/o2oa_body_model_compare/grey_probe_0.json,valid,1.302502,0.163857,pass,1.261062,recommended_1.2,reject,rule_pass_gan_reject
existing_grey_probe_1,in/o2oa_body_model_compare/grey_probe_1.json,uncertain,1.123973,0.169429,pass,1.010908,formal_1.0,reject,rule_pass_gan_reject
existing_grey_probe_1,in/o2oa_body_model_compare/grey_probe_1.json,uncertain,1.123973,0.169429,pass,1.010908,recommended_1.2,pass,same_decision
existing_grey_probe_2,in/o2oa_body_model_compare/grey_probe_2.json,uncertain,1.124478,0.169548,pass,1.019273,formal_1.0,reject,rule_pass_gan_reject
existing_grey_probe_2,in/o2oa_body_model_compare/grey_probe_2.json,uncertain,1.124478,0.169548,pass,1.019273,recommended_1.2,pass,same_decision
generated_01_valid_policy_update,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_policy_update.json,valid,1.498781,0.115698,pass,1.993608,formal_1.0,reject,rule_pass_gan_reject
generated_01_valid_policy_update,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_policy_update.json,valid,1.498781,0.115698,pass,1.993608,recommended_1.2,reject,rule_pass_gan_reject
generated_02_valid_query_tag,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_query_tag.json,valid,1.028337,0.121270,pass,1.761630,formal_1.0,reject,rule_pass_gan_reject
generated_02_valid_query_tag,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_query_tag.json,valid,1.028337,0.121270,pass,1.761630,recommended_1.2,reject,rule_pass_gan_reject
