seed_dir,seed_count,json_seed_count,valid_json_count,invalid_json_count,ok_seed_count,border_seed_count,bad_seed_count,avg_size_bytes,max_size_bytes,min_size_bytes,top_level_fields,nested_field_paths,has_expected_negative,business_fields_detected,notes
in/alfresco_metadata_update_dataset,4,4,4,0,2,1,1,171.25,217,91,name;properties,name;name.invalid;properties;properties.cm:description;properties.cm:description.bad;properties.cm:title;properties.cm:title[],true,cm:description;cm:title;name;properties,has_ok_seed;has_border_seed;has_expected_negative_seed;has_business_fields
in/flowable_doc_create_dataset,4,4,4,0,2,1,1,688.75,739,648,businessKey;processDefinitionKey;returnVariables;variables,businessKey;processDefinitionKey;returnVariables;variables;variables[];variables[].name;variables[].type;variables[].value,true,businessKey;name;processDefinitionKey;variables,has_ok_seed;has_border_seed;has_expected_negative_seed;has_business_fields
in/flowable_doc_update_dataset,4,4,4,0,2,1,1,344.25,405,303,name;type;value,[];[].name;[].type;[].value,true,name,has_ok_seed;has_border_seed;has_expected_negative_seed;has_business_fields
in/flowable_process_start,1,1,1,0,1,0,0,161.0,161,161,processDefinitionKey;variables,processDefinitionKey;variables;variables[];variables[].name;variables[].value,false,name;processDefinitionKey;variables,has_ok_seed;has_business_fields
in/flowable_process_start_dataset,50,50,50,0,30,10,10,174.72,352,2,processDefinitionKey;variables,processDefinitionKey;variables;variables[];variables[].name;variables[].value,true,name;processDefinitionKey;variables,has_ok_seed;has_border_seed;has_expected_negative_seed;has_business_fields
in/flowable_process_start_dataset_v2,80,80,80,0,50,10,20,184.65,604,2,processDefinitionKey;variables,processDefinitionKey;variables;variables[];variables[].name;variables[].value;variables[].value.nested;variables[].value[],true,name;processDefinitionKey;variables,has_ok_seed;has_border_seed;has_expected_negative_seed;has_business_fields
in/flowable_process_start_dataset_v3,130,130,130,0,80,20,30,193.25,684,2,processDefinitionKey;variables,processDefinitionKey;processDefinitionKey.k;processDefinitionKey[];variables;variables[];variables[].name;variables[].value;variables[].value.nested;variables[].value[],true,name;processDefinitionKey;variables,has_ok_seed;has_border_seed;has_expected_negative_seed;has_business_fields
in/o2oa_body,5,5,5,0,0,0,0,31.6,84,2,calendarIds;categoryIdList;credentialList;docStatusList;endTime;key;startTime,calendarIds;categoryIdList;credentialList;docStatusList;endTime;key;startTime,false,,
in/o2oa_body_cms_score,183,183,183,0,113,33,37,109.03,440,49,categoryIdList;docStatusList;key;weirdField1;weirdField2;weirdField3,categoryIdList;categoryIdList[];docStatusList;docStatusList[];key;weirdField1;weirdField2;weirdField3,true,,has_ok_seed;has_border_seed;has_expected_negative_seed
in/o2oa_body_model_compare,18,18,18,0,7,7,1,99.28,147,49,categoryIdList;docStatusList;key;tag;weirdField1;weirdField3,categoryIdList;categoryIdList[];docStatusList;docStatusList[];key;tag;weirdField1;weirdField3,true,,has_ok_seed;has_border_seed;has_expected_negative_seed
