scenario,seed_file,expected_negative,rule_pass,ae_score,ae_pass,decision,reason,feature_vector
metadata_update,seed_bad_0.json,true,false,1.167730,false,reject,rule_reject:name_must_be_string_len_1_255,"[1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
metadata_update,seed_border_0.json,false,true,0.937674,true,pass,score_within_threshold,"[1.0,0.0,0.0,4.0,1.0,5.0,1.0,1.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
metadata_update,seed_ok_0.json,false,true,1.123614,true,pass,score_within_threshold,"[1.0,0.0,0.0,4.0,1.0,30.0,1.0,16.0,18.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
metadata_update,seed_ok_1.json,false,true,1.060269,true,pass,score_within_threshold,"[1.0,0.0,0.0,4.0,1.0,30.0,1.0,10.0,17.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
content_update,seed_bad_0.txt,true,false,0.936224,false,reject,rule_reject:expected_negative_marker,"[0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,1.0,34.0,34.0,1.0,0.0,0.0,0.028571,3.643111,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
content_update,seed_border_0.txt,false,true,0.752459,true,pass,score_within_threshold,"[0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
content_update,seed_ok_0.txt,false,true,0.811793,true,pass,score_within_threshold,"[0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,38.0,2.0,25.0,18.0,1.0,0.894737,0.0,0.052632,5.194228,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
content_update,seed_ok_1.txt,false,true,0.773157,true,pass,score_within_threshold,"[0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,34.0,2.0,25.0,16.0,1.0,0.852941,0.0,0.058824,5.186859,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
multipart_upload,seed_bad_0.txt,true,false,1.053788,false,reject,rule_reject:expected_negative_marker,"[0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,1.0,33.0,33.0,1.0,0.0,0.0,0.029412,3.759191,0.0,1.0,20.0,1.0,34.0,1.0,1.0,1.0,1.0]"
multipart_upload,seed_border_0.txt,false,true,0.933776,true,pass,score_within_threshold,"[0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,23.0,1.0,2.0,1.0,1.0,1.0,1.0]"
multipart_upload,seed_ok_0.txt,false,true,1.033334,true,pass,score_within_threshold,"[0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,38.0,2.0,25.0,18.0,1.0,0.894737,0.0,0.052632,5.194228,0.0,1.0,19.0,1.0,110.0,1.0,1.0,1.0,1.0]"
multipart_upload,seed_ok_1.txt,false,true,0.919997,true,pass,score_within_threshold,"[0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,29.0,2.0,21.0,13.5,1.0,0.827586,0.0,0.068966,5.011684,0.0,1.0,19.0,1.0,83.0,1.0,1.0,1.0,1.0]"
